premise	hypothesis	premise_atomic	hypothesis_atomic	label
Kam sta v resnici izginila, se še danes ne ve.	Njuno nahajališče je še vedno nerazrešena uganka.	osebek ne ve, kam naj gre res izgubil.	nahajališče nikoli ni videla predmet se sprašuje, kje so.	entailment
Na prvi ravni zelo skrbno ravnamo z instrumentalnimi definicijami problema in z raziskovanjem deleža posameznega člana v procesu reševanja in delamo na artikulaciji dobrih možnih izidov.	Instrumentalne definicije problema ter raziskovanje deleža določenega člana v postopku reševanja sta za nas manj pomembna kot artikulacija možnih pozitivnih izidov.	osebek podrobno preuči rešiti težavo	definicije igra vlogo razumevanje projekta. v formaciji	contradiction
Poleg tega je študentom omogočeno opravljanje raziskovalnega dela na številnih domačih in tujih univerzah ter raziskovalnih inštitutih.	Prav tako pa lahko študentje izvajajo raziskave v okviru raziskovalnih inštitutov ter domačih in tujih univerz.	opravljanje zapusti državo študij v tujini	študentje zapusti državo študij v tujini	entailment
»Jaz sem pa mislila, da se je zgodilo ne vem kaj.«	“Prepričana sem bila, da se je pripetilo nekaj pomembnega.“	kaj ve, da je bilo nekaj narobe razmišljati o nečem	nekaj prepričan, da se nekaj ne bo zgodilo	entailment
To je bila tudi edina slovenska tekmovalka na tej tekmi.	Na tekmi je bila zastopana tudi Slovenija.	PersonX se je uvrstil na prvenstvo prav tako ponosna.	PersonX se je uvrstil na prvenstvo prav tako ponosna.	neutral
Gašper: “Moram reči, da sem zelo ponosen.	Gašper je bil s svojim rezultatom sila zadovoljen.	PersonX je res ponosen ponosni	Gašper zadovoljen z rezultatom.	neutral
Če gremo v astralni svet, je izrazito drugačen tudi občutek za prostor.	Izkušnja astralnega sveta ponuja enako dojemanje prostora kot jo poznamo v fizičnem.	občutek gre drugam se v novem okolju dobro počuti.	Izkušnja sledi zvoku izgubijo občutek za svojo fizično okolico.	contradiction
Banka Slovenije določa višino, roke za uporabo in vračilo ter druge pogoje za kratkoročne kredite, ki jih daje bankam in hranilnicam za zagotavljanje njihove dnevne likvidnosti.	Določitev pogojev za kratkoročna posojila ostalim bankam in hranilnicam je v pristojnosti centralne banke Republike Slovenije.	Banka potrebuje denar izposoditi si od banke ali nekoga drugega	Določitev potrebuje denar izposoditi si od banke ali nekoga drugega	entailment
»Sem že premlevala o tem,« je odvrnila.	Rekla je, da je o tem že premišljevala.	osebek dolgo govori odgovoriti na to, kar je povedala osebek.	osebek je pred kratkim videla razmisliti o tem.	entailment
»Tega mi Finlay ni omenil,« je dejal Jeremija.	Jeremija je povedal, da ga je Finlay seznanil s tem.	PersonX ni rekel ničesar neinformiran	Finlay pove jeffu Finlay je Jeffu povedala.	contradiction
“Nikogar ne pričakujem, nočem, da kdo pride.“	V sicer redki želji, da ne prejme nobenega obiska, danes ne pričakuje nikogar.	kdo ne želi, da bi kdo vedel nič	osebek povabi se nasmehniti, ker niso pričakovali, da jih bo kdo povabil na zmenek. na zmenek	neutral
Mislim, da ste tudi novinarji izčrpani na festivalih, prav tako kot sem jaz.	Novinarji, ki poročate s festivalov, verjetno nimate dosti dela.	novinarji je videla tudi povedati novinarjem in biti na televiziji.	PersonX ima preveč stvari da najamete profesionalnega organizatorja.	contradiction
Sem slučajno kaj takega rekla ali naredila, ne da bi se zavedala?«	“Vse, kar sem naredila in povedala, je bilo čudovito.“	osebek ni nikoli videla reči, da ne vedo ničesar.	Vse da vsi ne upoštevajo tega, kar so storili ali rekli.	contradiction
Prepovedani so vsakršna reprodukcija, distribucija, predelava in dajanje avtorskih del ali njihovih delov na voljo javnosti v tržne namene brez sklenitve ustrezne pogodbe s podjetjem Nova obzorja založništvo d.o.o.	Vsako deljenje avtorskih del je dovoljeno, četudi se podjetje Nova obzorja založništvo d.o.o. s tem ne strinja; strankama ni treba sestaviti ali podpisati pogodbe o avtorskih delih, saj ima vsak pravico deliti to, kar želi.	reprodukcija pusti predmet nič ne deliti	obzorja pusti tem nič ne deliti	contradiction
Dizelski motor dopolnjuje 6-stopenjski ročni menjalnik, tako da skupaj nudita neprimerljivo mešanico moči, poskočnosti in natančnega nadzora.	Motor z nizko porabo dizelskega goriva je primeren za vse tiste, ki prevozite daljše razdalje, na katerih boste za razgibano vožnjo lahko poskrbeli s 6-stopenjskim menjalnikom.	motor požene motor predmet imeti moč	PersonX gre na jadranje razen če je na solo vožnji na majhnem čolnu, ki bo morda potreboval odpoklic iz obalne straže.	neutral
Zahvaljujejo se mi za neštete milosti, ki jim jih vsak dan dajem.	Hvaležni so mi za neskončno dobroto, ki so je dnevno deležni.	osebek daje dan se zahvaljujem Danu za njegovo pomoč	osebek je hvaležna za vse, kar dobi.	entailment
Med postopkom varstva pravic v delovnih sporih in varstvom pravic v upravnem postopku in upravnem sporu je moč najti podobnosti v tem, da ima tudi v upravnem sporu velik pomen upravni postopek.	Za postopek varstva pravic v upravnem postopku in upravnem sporu je tako kot za postopek varstva pravic v delovnih sporih zelo važen upravni postopek.	postopek je videti prav tako kot sporu imeti enako pričesko	postopek privede postopek pred sodišče Postopek pred sodiščem	entailment
• otroci naj okužbo prebolijo doma in ne v vrtcu ali šoli!	Če so otroci okuženi, vendar nimajo prehudih bolezenskih znakov, naj vseeno pridejo v šolo ali vrtec.	otroci predmet odvzame da otroci hodijo v šolo v bližini njegove hiše.	otroci v šole imeti otroke	contradiction
BILO JE SLIŠATI, KOT BI NEKDO NEKAJ STRGAL ALI PRASKAL.	SLIŠALI SO SE ZVOKI STRGANJA ALI PRASKANJA.	NEKDO se nagne naprej slišati nekoga ali nekaj.	ZVOKI teče sem in tja izpustiti paro ali napetost.	entailment
Med večletnimi širokolistnimi pleveli prevladujejo slak, osat, gabez in ščavje, najpogostejše večletne trave v koruzi pa so pirnica in divji sirek.	Slak, gabez in osat spadajo med širokolistni plevel, enako tudi ščavje, na drugi strani pa med večletne trave v koruzi prištevamo pirnico in divji sirek.	slak ima običajno že več let	Slak pripada skupini trave normalno	entailment
Ta Konvencija je odprta za podpis članicam Sveta Evrope, ki jo morajo ratificirati.	Ta dokument lahko podpišejo tiste države članice Sveta Evrope, ki so ga pomagale pripraviti.	PersonX se pohvali vsem PersonX-ovim prijateljem odpre usta, da bi spregovoril.	države prosi predmet za podpis izdelavo kopij podpisanega dokumenta.	entailment
Požarna varnost je varnost ljudi, živali in premoženja ob požaru.	Požarna varnost vključuje neogroženost živali, ljudi in njihovega premoženja.	varnost ščiti poskrbeti za varnost ljudi. pred poškodbami	varnost. razumeti njegovo življenje ter stvari in ljudi v njem.	entailment
(2) Pred sodiščem Republike Slovenije se sme po pravu Republike Slovenije dokazovati smrt tujega državljana, ki je umrl na ozemlju Republike Slovenije.	(2) Kazensko pravo Republike Slovenije določa tudi postopke za primer, ko tujec premine na ozemlju RS.	smrt ima pravico do smrti ozemlju počakati, da oseba umre.	Kadrovska zakonodaja ureja sledenje pošiljkam med državami.	neutral
Tožnik niti tekom upravnega postopka niti v tožbi ne izpodbija dejstev, ki so podlaga za izrečeni inšpekcijski ukrep.	Tožnik je ponovno napačno navajal, da lahko izpodbija dejstva, zaradi katerih mu grozi ukrep inšpekcije, zato je moral plačati kazen.	Tožnik odvrača nič od dejanja	ukrep se počuti nespodbudno ponovno oceniti dogodek/e, ki so ga/jih pripeljali do odvračanja.	neutral
V takem primeru se glavna obravnava dokonča brez njegove navzočnosti, sodbo pa mu naznani predsednik ali sodnik, ki je član senata, v navzočnosti zapisnikarja.	Če zapisnikar ni prisoten v prostoru, ko mu želi sodnik oz. predsednik sporočiti razplet sodne obravnave, je treba počakati, da se zapisnikar pridruži.	predsednik postane predsednik sprejema odločitve.	zapisnikar se mora obrniti na sodišče da se udeležijo zaslišanja.	neutral
Pozno spomladi požene mogočna kala svoje zlatorumeno betičasto socvetje, obdano s snežno belim ovršnim listom.	Pomlad je čas cvetenja mogočne kale, ki požene zlatorumene in snežno bele liste.	kala začne hvaležen delati	PersonX je čas za hrano postavite krožnike in srebrnino.	neutral
Ni bil moški, v katerega bi se smela zaljubiti.	Do njega pod nobenim pogojem ne bi smela gojiti čustev.	osebek nikoli ni bila najdena da bi našli takšno, ki jim je všeč.	osebek ne sme nikoli imeti fobijo	entailment
Saj mu je dovolj jasno povedala, da ga ne želi nikoli več videti!	Razločno mu je vendar dala na znanje, da si ga nikdar več ne želi ugledati!	osebek pravi, da ni nikoli videl jim želi o tem povedati.	osebek pravi, da ni nikoli videl jim želi o tem povedati.	entailment
Sem pač taka: imam rada ljudi in rada se pogovarjam z njimi, tako z moškimi kot ženskami.“	Čeprav se ima za človekoljuba, je izpostavila, da uživa le v pogovoru z moškimi.	osebek se počuti zelo srečno se pogovarjati z ljudmi.	osebek pravi, da bi dala se pogovarjati z ljudmi.	contradiction
NAPAČEN KORAK, KI JE ZDRSNIL ČEZ ROB...	KORAK V NAPAČNO SMER, PA JE ZGRMEL V PREPAD...	osebek planejo solze z zlomljenim srcem	PersonX pade ravno na moj obraz so obtičali pod osebek	entailment
Toda nič jasnega ne bi mogel povedati, kaj mu je.	Že na obrazu mu piše, kaj je narobe z njim.	kaj v tem trenutku še ni jasno, kaj bi lahko rekli.	kaj je videti kriva skriva svoj obraz.	contradiction
Dogovorili sva se, da se bomo v kratkem kaj videli.	Sklenili sva, da se bomo videli šele čez dolgo časa.	osebek vidi družino kratkem se dogovorite, da se kmalu spet srečamo.	osebek vidi družino časa se dogovorite, da se kmalu spet srečamo.	contradiction
Zato je potrebno kriterij primernosti zadeve, da jo občina samostojno ureja, iz prvega odstavka 140. člena Ustave razlagati glede na teritorialno strukturo obstoječih slovenskih občin, glede na njihovo velikost, število prebivalcev in siceršnje kapacitete.	Iz ustavne zasnove občine izhaja, da naj bo občina sposobna samostojno opravljati lokalne zadeve oziroma zadovoljevati potrebe in interese svojih prebivalcev (prvi odstavek 140. člena Ustave).	občina upošteva zmogljivosti občinstva razumeti njihove zmogljivosti.	občina žena lahko zadovolji svoje potrebe.	neutral
To je bilo zadnje, kar si je kdaj želela.	Tega si ni nikoli v življenju želela.	To da bi končno naredil nekaj, kar je od njega zahtevala.	osebek nikoli ni naredila nadaljevati življenje.	entailment
“Lady Mayfieldova, ne vem, kako naj vam to povem, ampak ...“	“Lady Mayfield, to vam bom povedal kar naravnost ...“	Lady ve, kaj naj reče je prisiljen govoriti	osebek o tem pove mami predmet pošteno	contradiction
Skupno Burdž Kalifa ponuja slabih 530.000 kvadratnih metrov površin, ob lepem vremenu pa ga je mogoče videti iz oddaljenosti skoraj 100 kilometrov.	Burdž Kalifa, ki ga je zgradila družba Emaar, se ponaša z 200 nadstropji, od katerih jih je za stanovanja namenjenih 160 v ostalih prostorih pa so pisarne in uradi.	Burdž obožuje razgled biti nekje, kjer je lepa pokrajina.	pisarne zgradi hišo prostorih se preseliti	neutral
Potem ko je plačala, sta skupaj odšla proti vhodu.	Motilo jo je, da je morala ona plačati za večerjo.	osebek je takoj zgrabila iti na blagajno in plačati.	ona je treba plačati večerjo.	neutral
»Kam greš, Aléxandre?« je vznemirjeno vprašala Roksana.	Roksana je osebi z imenom Alékxandre razburjeno zastavila vprašanje, kam se odpravlja.	Roksana kam greš?	Roksana se sprašuje, kam je šla oseba	entailment
Potem se je nagnil nazaj in prekrižal roke s čikom v kotičku ust.	Nekadilec je, nikoli ni imel cigarete v ustih; sedel je zravnano, roke je imel ob telesu.	osebek potisne nazaj dvignite roke in položite dlani.	PersonX nikoli več ne pije cigarete somes	contradiction
Pomaga pa tudi pri rehabilitaciji po poškodbah, celostno sprošča in okrepi telo ter izboljšujejo zaznavo in počutje.	Prav tako dobro dene ob okrevanju kot posledici poškodb, pomaga pri sproščanju in krepitvi celega telesa in dosegi boljšega počutja.	PersonX izboljša zadovoljen, razbremenjen in ponosen, da materialno prispeva k okrevanju, dobremu počutju in napredku svojih pacientov. pri bolnikih	osebek pomaga sproščanju, da se bolje počuti okrevanje	entailment
Ko govori o ambivalentnostnem konfliktu, spet pravi: “Verjetno se izrazi v Ojdipovem kompleksu, povzroči razvoj zavesti in ustvari prve občutke krivde.”	V delu o razdvojenostnem prepiru reče, da se to najbrž pokaže pri Ojdipovem kompleksu in vzbudi razvoj zavesti ter povzroči, da ljudje prvič občutijo krivdo.	osebek pride in pomaga razvijanje občutka empatije.	ljudje pride in pomaga razvijanje občutka empatije.	entailment
Le z zakonom oziroma drugim predpisom na podlagi zakona je lahko določen tudi pod 36 ur na teden, in sicer za dela, pri katerih obstajajo večje nevarnosti za poškodbe ali zdravstvene okvare.	Manj kot 36 ur tedensko pri delih, ki predstavljajo več tveganja za poškodbe ali bolezenska stanja, ne more biti določeno niti z zakonom.	nevarnosti odpelje katerih v bolnišnico Da bi se izognili hudim poškodbam ali smrti	osebek zakonom ne pove ničesar kakršno koli poškodbo na življenje	contradiction
Vprašalnik so preizkušale svetovalne delavke, članice odbora za pripravo posveta, ki je bil v ta namen organiziran.	Vprašalnik se je pred uporabo preizkusil s strani visoko kvalificiranih članic na novo sestavljenega odbora pa pripravo posveta.	delavke se udeleži srečanja namen da preizkusijo stvari, o katerih so izvedeli na srečanju.	PersonX pridiga zboru dobro poznati člane zbora.	neutral
Predsednik državnega zbora, predsednik vlade in ministri so dolžni osebno sprejeti varuha na njegovo zahtevo najkasneje v 48 urah.	Ombudsman lahko izrazi zahtevo za osebni sprejem, tej pa morajo po zakonu ugoditi predsednik DZ, predsednik vlade in ministri, in sicer v največ 48 urah od izražene zahteve.	Predsednik pride predčasno domov biti pri njem ali pri njegovi hiši	predsednik pridobi zahtevati od vlade	neutral
»Kdo ti je omogočil vse, kar imaš?«	“Kdo je kriv za to, da si vse izgubila?“	PersonX ima oboje vse to	Kdo išče vsak nekaj izgubiti	contradiction
Mogoče bi bilo vse drugače, če bi drugače začela.	Tudi če bi lahko naredila kaj drugače, tega ne bi naredila.	vse da bi bilo bolje, če bi to naredili drugače.	osebek da bi bilo bolje, če bi to naredili drugače.	contradiction
Vabijo začetnike in tudi druge, ki želijo obnoviti znanje nemškega jezika.	Vabijo pa tudi tiste, ki se želijo naučiti angleškega, francoskega in ruskega jezika.	osebek učence uči za pomoč otrokom pri učenju novega jezika.	osebek v francoščini v da se želite učiti.	neutral
Nauči me, da bom premagal strah pred ljudmi, kadar bi me ovirali, da ne bi priznal tebe.	Pokaži mi, kako lahko premagam strah pred soljudmi, ko bi me ti pripravili do zanikanja in zaničevanja tebe.	osebek se šali da ljudem poveste, naj se ne užalijo.	osebek prepreči poskus zanikanja pokazati razočaranje	neutral
Cenilec opravi ogled nepremičnine in izdela cenitev, ki jo predloži sodišču.	Vrednost nepremičnine lahko določi njen lastnik po svojem okusu, sodišče pa jo je dolžno sprejeti.	Cenilec proda hišo kupec se sestane tudi z nepremičninskim posrednikom.	sodišče upošteva zmogljivosti občinstva da se odloči za svoje izvorno gradivo.	contradiction
Dogovorili sva se, da se bomo v kratkem kaj videli.	Zmenili sva se za naše srečanje v bližnji prihodnosti.	osebek vidi družino kratkem se dogovorite, da se kmalu spet srečamo.	osebek dogovorite se za nadaljnje srečanje.	entailment
»Ničesar ne slišim,« je rekel, ko je še močneje napel ušesa.	Postalo mu je jasno, da ima neverjetno dobro razvit sluh.	osebek še nikoli ni slišala nič	sluh jasno sliši da njihova čutila dobro delujejo.	contradiction
Tudi danes je treba ponoviti: slovenski oboroženi boj proti okupatorju in domačim kolaborantom, ki so ga vodili slovenski partizani, je bil zagotovilo preživetja slovenskega naroda.	Ne smemo pozabiti, da imajo za preživetje slovenskega naroda zasluge partizani, vodje boja proti osvojevalcem našega ozemlja in slovenskim izdajalcem.	partizani se bori za življenje predmet uničiti sovražnika	PersonX nikoli ni pozabil biti hvaležen	entailment
Sedaj je namreč velika verjetnost, da bo Zemlja v ne tako oddaljeni prihodnosti doživela velike spremembe.«	Vsi dokazi pravijo, da bo planet Zemlja še dolgo ohranjal svojo podobo kot jo poznamo danes.	Zemlja preprečuje Morda se geografsko seli v druge kraje. v prihodnosti	PersonX se zdi kot večnost ostati dlje.	contradiction
Spomladanske čebulnice, ki so v koritih že pokazale prve liste, lahko presadimo na vrt.	Te rastline, ki so že pognale, moramo pustiti v cvetličnih lončkih, saj zunaj ne bodo preživele.	čebulnice postavi drevo čebulnice lahko naslednje leto uživa v domačem sadju.	rastline postavi rastline, ki jih je treba zalivati. zunaj	contradiction
Za trenutek se mi je zazdelo, da je name povsem pozabila.	V tistem momentu sem pomislil, da je na najin dogovor v celoti pozabila.	osebek je končno povedala pozabite nanj.	osebek je vedno pozabila načrtovanje dejavnosti.	neutral
Ko dobimo občutek za to, lahko razmislimo, kako ji pomagati iz stiske.	Pri taki težavi bi ji prišla prav pomoč kogarkoli, tudi če ne poznamo najbolje nje ali njene situacije.	PersonX pomaga pri bolečinah da bi vedeli, kako mu pomagati.	PersonX bo v redu za razumevanje problema ali zahteve.	contradiction
Škoda, da je tako dolgo trajalo, preden sem to spoznal.“	Ko bi vsaj trajalo še dlje, preden sem bil soočen s spoznanjem.	osebek potrebuje se opravičil, ker je trajalo tako dolgo. dvajset minut	PersonX traja veliko dlje pridobijo priznanje.	contradiction
Pravne osebe morajo voditi poslovne knjige ter izdelati letna poročila v skladu z določbami tega zakona in drugimi predpisi, kodeksom računovodskih načel ter slovenskimi računovodskimi standardi (v nadaljnjem besedilu: računovodski standardi).	Za pravno ustrezno poslovanje je pri pravnih osebah nujno celostno poznavanje tega zakona, pravno veljavnih določil, zakonika, ki je vodilo računovodij, slovenskih enotnih računovodskih predpisov (računovodski standardi), saj je to tudi osnova za pisanje poročil o poslovanju.	osebe stori vsako leto	PersonX je dober delavec upoštevati pravila.	neutral
Pomaga pa tudi pri rehabilitaciji po poškodbah, celostno sprošča in okrepi telo ter izboljšujejo zaznavo in počutje.	Poleg ugodnih učinkov na fizično zdravje ugodno vpliva tudi na počutje, samopodobo, sprošča, pripomore k zmanjševanju stresa in depresije.	PersonX izboljša zadovoljen, razbremenjen in ponosen, da materialno prispeva k okrevanju, dobremu počutju in napredku svojih pacientov. pri bolnikih	osebek se počuti bolj udobno brez stresa	neutral
Slovenija je še vedno najmanj zadolžena članica držav evrobmočja in se je tej ravni zadolženosti zaradi hitre gospodarske rasti doslej približevala postopoma.	Slovenija je glede na višino dolga in obresti, izraženih v odstotku BDP, med najmanj zadolženimi državami EU.	Slovenija teče naprej počasnejši	Slovenija pomaga zmanjšati razmerje med dolgom in BDP. razumeti	neutral
Na zahodni strani jezera je visok gozdnat in zakrasel Žejski hrib.	Okoli in okoli jezera lahko vidimo samo ravnino, niti enega grička.	hrib vidi sončni vzhod vzpon na vrh gore	osebek vidi okoli jezera nič	contradiction
Razložil sem jima torej vse, tako mirno in obvladano, kolikor sem mogel.	Potrudil sem se, da sem pri razlagi svoje živce obdržal na vajetih.	PersonX vse pojasni z olajšanjem, da je pojasnil, kaj točno se je zgodilo.	osebek pomiri živce vajetih da se prepričate, da so v redu.	entailment
Tudi jaz ti ne bi hotel vzeti nečesa, kar je prav zate.	Vzel bi to, čeprav je to namenjeno točno tebi.	kar vzame karkoli da vam ni treba deliti.	PersonX ga prevzame od mene da si ga resnično želite.	contradiction
Takrat je po njem pravilno pripeljal 31-letni voznik tovornjaka z Raven na Koroškem.	Mlad odrasel z Raven na Koroškem je med divjo vožnjo tovornjaka upošteval pravila CPP.	PersonX nikoli ni bil na vlaku mladi	PersonX vozi hitro krši prometne predpise.	neutral
Nimam pojma, zakaj, ko je dejansko tako čuden, ampak ponovila sem njene besede, to je vse.«	Povsem natančno vem, kaj in kako, res je zanimiv, zato mi ni padlo na pamet, da bi ponavljala za njo.	vse o tem ne razmišlja se sprašuješ, zakaj ljudje govorijo o tem.	PersonX meni, da je bilo zanimivo da bi razumeli, zakaj je bila tako zanimiva.	contradiction
Preveč je bilo, pomislim, vsega, preveč za en dan.	V zadnjih štiriindvajsetih urah se je toliko zgodilo, da ne morem dojeti vsega.	osebek je nekega dne dolgčas preveč razmišlja.	osebek se počuti zelo utrujeno da je delal 16 ur neprekinjeno.	entailment
»Kaj bi rad?« ga je vprašal Rodrrigos.	Rodriggos mu je namenil svojo pozornost.	Rodrrigos vpraša, kaj je želela predmet priti po tisto, kar predmet potrebuje.	PersonX je res užival v da se osredotočite nanj.	neutral
S tem sklepom je bilo vprašanje veljavnosti diplom že leta 2008 zaključeno in naknadna vložitev kazenskih ovadb, ki sledi drugim ciljem, nima nikakršnega vpliva in pravnega učinka.	Vlagatelj kazenske ovadbe v zvezi z veljavnostjo diplomskih listin se lahko nadeja ugodne pravne razrešitve postopka, saj nova vprašanja na tem področju večkrat privrejo na dan.	vložitev izpolni zahteve leta Odločitve niso več vezane na Y po	vprašanja dobro odgovori na vprašanje učinkovito	contradiction
Delo natančneje preučuje tudi dva temeljna problemska sklopa v zvezi z oblikovanjem knjižnih del slovenskih protestantskih piscev: opisuje, kakšne tehnike prevajanja so uporabljali in s katerimi izrazi so opisovali svojo prevajalsko dejavnost.	Delo se natančno posveča dvema glavnima problemskima sklopoma, ki se navezujeta na oblikovanje knjižnih del slovenskih protestantskih avtorjev; in sicer opisuje prevajalske tehnike, ki so jih pisci uporabljali ter navaja izraze, s katerimi so sami opisali prevajalsko dejavnost.	PersonX postavlja vprašanje razmišljati o tem, kaj učitelj govori.	PersonX postavlja vprašanje razmišljati o tem, kaj učitelj govori.	entailment
Morse si je snel šal in videti je bil nekoliko izgubljen.	Morsa se je igral s šalom, dokler se ni rabil usmeriti na pot.	PersonX gleda visoko in nizko nekaj izgubiti	osebek je pomotoma vrgla hoditi čez cesto po žogo. hoditi čez cesto po žogo.	neutral
Vsaj po tem se razlikujem od drugih, ki si jih poznala.	Povsem enaka sem kot vsi tvoji ostali znanci.	osebek razlikuje drugih od drugih jih spoznati	osebek pozna vse spoznavati druge ljudi.	contradiction
Zahtevek je treba vložiti v dveh letih po uveljavitvi tega zakona.	Zahtevek lahko oddate kadarkoli, saj ni časovnega roka za oddajo vlog.	osebek naredi aplikacijo uveljavitvi za vložitev prošnje	roka vloži zahtevek čas	contradiction
V Ukrajini je bilo zaradi nesreče kontaminiranih 50.000 kvadratnih kilometrov, prizadetih pa je bilo več kot tri milijone Ukrajincev.	Nesreča izrednih razsežnosti na območju Černobila je poleg kontaminacije več deset tisoč km^2 prizadela tudi dobre 3 mio ukrajinskih državljanov.	PersonX je moj najboljši prijatelj preživeti veliko časa z mano	Nesreča ogrozi življenje km šokiran	neutral
Zakon o načinu obračunavanja in izplačevanju plač (7. seja, 3.3.1993); Državni izbor je potrdil zakon na 5. seji (9.3.1993).	Glede na to, da so v marcu 1993 Zakon o načinu obračunavanja plač že sprejeli, bi bil že skrajni čas, da ga tudi potrdijo, čeprav ga še niso.	zakon nakupuje živila zakon plača in kupi živila	ga postane dobiti plačo. kdaj	contradiction
“In zato me imaš tako rada,“ sem ji rekel.	Dejal sem ji, da je to razlog, zaradi katerega sem ji tako pri srcu.	osebek reče predmet ljubezen povedati osebek, da jo ima rad.	to ima zelo rada svojemu dekletu pove, da jo ljubi.	entailment
Evropska letališča so polna potnikov, ki neuspešno poskušajo priti do želenega cilja, poročajo tuji mediji.	Če se zgodi, da so leti zaradi slabih vremenskih razmer odpovedani, lahko potniki več dni prebijejo na letališčih.	PersonX teče povsod da pridejo do želenega cilja.	potniki zamudi let letališčih ponovno rezervacijo leta (če je bil let odhodni).	neutral
Predlagamo, da vložite zahtevek za invalidnino za telesno okvaro na območni enoti zavoda za pokojninsko in invalidsko zavarovanje.	Naš nasvet je, da na območni enoti ZPIZ vložite zahtevek za invalidnino za telesno okvaro.	osebek zaprosi za bone za hrano na urad za socialno skrbstvo.	osebek reče enoti, naj pokliče imeti bolečine in želeti, da enoti pokliče reševalno vozilo.	entailment
Ekologija te vrste je slabo poznana, vendar se ne razlikuje mnogo od drugih vrst iz rodu Saprinus .	Za bolj natančno spoznavanje te vrste bodo potrebne nadaljnje raziskave, zaenkrat pa je gotovo, da so sorodne vsem vrstam iz rodu Saprinus.	Ekologija razlikuje dobro obveščeni od živali	raziskave vidi družino spoznavanje če želite izvedeti več o njih.	neutral
Ta Konvencija je odprta za podpis članicam Sveta Evrope, ki jo morajo ratificirati.	Dokument morajo podpisati še tiste članice Evropske unije, ki pri pripravi niso nič sodelovale.	PersonX se pohvali vsem PersonX-ovim prijateljem odpre usta, da bi spregovoril.	članice prosi pripravi za podpis izdelavo kopij podpisanega dokumenta.	contradiction
Kakavovo maslo je pomešano z vonjem cimeta, sladke pomaranče in klinčkov.	Aroma kakavovega masla je prijetna, saj diši po cimetu, sladki pomaranči in klinčkih.	maslo meša jabolka in pomaranče jih posujemo s sladkorjem.	Aroma obožuje čokolado okus čokolade	entailment
Na maščobi nekoliko prepražimo sesekljano čebulo, dodamo strt česen, bučke, paradižnikov konkase ali mezgo, kumino in sol.	V eni posodi na olju prepražimo narezano čebulo ter strt česen, v drugi posodi pa podušimo bučke, paradižnikovo mezgo ali konkase, sol in kumino.	osebek postavi nekaj paprike na žar	osebek išče določeno drugje	contradiction
»Ja, to je že res,« je užaljeno rekla Hedwig.	Hedwig je užaljena potrdila prejšnjo pripombo.	Hedwig pove predmet, da je verjela sprejeti, da je (nekaj) res.	Hedwig je pred kratkim dala obžaluje svojo odločitev.	entailment
Nekega večera je prišel semle in je bil ves iz sebe.	Ko je prispel sem, smo vedeli, da je nekaj narobe.	ves se nekega večera pelje domov gre na kraj.	nekaj ve, da je bilo nekaj narobe nekaj je šlo narobe	neutral
Jaz zgoraj, ampak si narediva tako, da je vedno dobro.	Zgoraj stanujem jaz, se pa trudiva, da bi nama bilo dobro.	Jaz da bi še naprej delali dobro.	jaz se povzpne po lestvi poskuša ostati na varnem.	neutral
Sedemkratni svetovni prvak formule 1 Michael Schumacher je prepričan, da bo naslov svetovnega prvaka v letošnji sezoni pripadel Sebastianu Vettlu. več	Po besedah najboljšega nemškega dirkača formule ena bo v tokratni sezoni na vrhu slavil njegov rojak Vettel.	naslov postane svetovni zmagal na tekmi	rojak pelje ima naslednji teden spet zmenek v svojo najljubšo restavracijo	entailment
Za glasovanje po pošti v tujini in na diplomatsko-konzularnih predstavništvih Republike Slovenije se smiselno uporabljajo določbe, ki veljajo za glasovanje v Republiki Sloveniji.	V kolikor rezident v času glasovanje ni v matični državi in bi rad oddal svoj glas, lahko to stori tudi iz tujine, če upošteva določila, ki veljajo za glasovanje doma, in je po njih primeren volilec.	PersonX je vedno tako srečen poslušati PersonX, da bi se tudi vi počutili srečni.	glasovanje Živi v svojem domu.	neutral
(2) V primerih iz 1. in 2. točke prejšnjega odstavka pooblaščena uradna oseba ne sme opravljati v prejšnjem odstavku navedenih ukrepov tudi pri fizični osebi.	V izogib nejasnostim je bilo naknadno dodano določilo, da uradna oseba kljub pooblastilu ne sme opravljati omenenih ukrepov pri fizični osebi.	oseba naredi osebi vnaprej nič	PersonX spremembe brez predhodnega obvestila da bi drugim povedali, kaj so storili.	neutral
Policisti so tatova pridržali in ju v soboto privedli pred preiskovalnega sodnika, ki je po zaslišanju zanju odredil hišni pripor.	Med vikendom so storilca privedli k preiskovalnemu sodniku, ki mu je po zaslišanju omejil možnost prostega gibanja.	Policisti vzame psa zaslišanju pokliče policijo	osebek en teden je običajno	entailment
Strokovno izbirnost tvori izbira enega študijskega modula iz programa računalništvo na FRI ter enega izmed ponujenih izbirnih predmetov iz programov Matematika in Finančna matematika na FMF.	Za zagotovitev strokovne izbirnosti imajo študentje možnost izbire enega modula, ki ga ponuja program računalništva na FRI ter izbire enega izbirnega predmeta iz nabora izbirnih predmetov, ki jih na FMF izvajajo za študente matematike in finančne matematike.	izbira je dobra v matematiki izbrati poklic, ki temelji na matematiki.	program je študent izbrati fakulteto.	entailment
